Procedimento;RN;Vigencia;OD;AMB;HCO;HSO;REF;PAC;DUT;SUBGRUPO;GRUPO;CAPÍTULO
BIÓPSIA RENAL CIRÚRGICA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTO RENAL - ESCLEROTERAPIA PERCUTÂNEA;;;X;SIM;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENDOPIELOTOMIA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTENOSE DE JUNÇÃO PIELOURETERAL - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA PIELO-CUTÂNEA - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LOMBOTOMIA EXPLORADORA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MARSUPIALIZAÇÃO DE CISTOS RENAIS;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRECTOMIA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRECTOMIA LAPAROSCÓPICA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRECTOMIA COM URETERECTOMIA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRO OU PIELOENTEROCISTOSTOMIA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROLITOTOMIA SIMPLES, ANATRÓFICA OU PERCUTÂNEA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROLITOTRIPSIA EXTRACORPÓREA;;;X;X;SIM;SIM;SIM;SIM;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROLITOTRIPSIA PERCUTÂNEA (PNEUMÁTICA OU PNEUMÁTICO-BALÍSTICA – MEC; ELETROHIDRÁULICA - E.H.; OU ULTRASSOM - U.S.);;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROLITOTRIPSIA PERCUTÂNEA A LASER;;;X;X;SIM;SIM;SIM;SIM;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROPEXIA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROPEXIA LAPAROSCÓPICA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRORRAFIA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROSTOMIA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROSTOMIA PERCUTÂNEA;;;X;SIM;SIM;SIM;SIM;SIM;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROURETERECTOMIA COM RESSECÇÃO VESICAL;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFROURETERECTOMIA COM RESSECÇÃO VESICAL LAPAROSCÓPICA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOLITOTOMIA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOLITOTOMIA LAPAROSCÓPICA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOLITOTOMIA COM NEFROLITOTOMIA SIMPLES OU ANATRÓFICA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOPLASTIA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOPLASTIA LAPAROSCÓPICA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOSTOMIA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PIELOTOMIA EXPLORADORA;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO ASPIRATIVA RENAL PARA DIAGNÓSTICO DE REJEIÇÃO;;;X;X;SIM;SIM;SIM;SIM;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO BIÓPSIA RENAL PERCUTÂNEA;;;X;SIM;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REVASCULARIZAÇÃO RENAL;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SINFISIOTOMIA (RIM EM FERRADURA);;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSURETERO ANASTOMOSE;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA FÍSTULA PIELO-INTESTINAL;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR RENAL - ENUCLEAÇÃO;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR WILMS - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMORES RETRO-PERITONEAIS - EXÉRESE;;;X;X;SIM;SIM;SIM;X;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA CIRÚRGICA DE URETER;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA ENDOSCÓPICA DE URETER;;;X;SIM;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CATETERISMO URETERAL;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLOCAÇÃO CIRÚRGICA DE DUPLO J;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLOCAÇÃO ENDOSCÓPICA DE DUPLO J;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLOCAÇÃO NEFROSCÓPICA DE DUPLO J;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLOCAÇÃO URETEROSCÓPICA DE DUPLO J;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORREÇÃO LAPAROSCÓPICA DE REFLUXO VÉSICO-URETERAL;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DILATAÇÃO ENDOSCÓPICA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DUPLICAÇÃO PIELOURETERAL - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA URETERO-CUTÂNEA (TRATAMENTO CIRÚRGICO);;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA URETERO-INTESTINAL (TRATAMENTO CIRÚRGICO);;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA URETERO-VAGINAL (TRATAMENTO CIRÚRGICO);;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MEATOTOMIA ENDOSCÓPICA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REFLUXO VÉSICO-URETERAL - TRATAMENTO ENDOSCÓPICO (COM DIRETRIZ DE UTILIZAÇÃO);;;X;X;SIM;SIM;SIM;X;122;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE URETERAL POR VIA EXTRA, INTRA OU TRANSVESICAL;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE URETEROINTESTINAL;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE URETEROINTESTINAL LAPAROSCÓPICO;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE URETERO-VESICAL;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE URETERO-VESICAL LAPAROSCÓPICO;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA ENDOSCÓPICA DE CÁLCULO DE URETER;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSURETEROSTOMIA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETERECTOMIA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROCELE -TRATAMENTO CIRURGICO OU ENDOSCOPICO;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROILEOCISTOSTOMIA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROILEOSTOMIA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETERÓLISE;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROLITOTOMIA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROLITOTRIPSIA EXTRACORPÓREA;;;X;X;SIM;SIM;SIM;SIM;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROPLASTIA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETERORRENOLITOTOMIA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETERORRENOLITOTRIPSIA A LASER;;;X;X;SIM;SIM;SIM;SIM;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETERORRENOLITOTRIPSIA FLEXÍVEL OU RÍGIDA (MEC., E.H., OU US);;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROSSIGMOIDOPLASTIA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROSSIGMOIDOSTOMIA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROSTOMIA CUTÂNEA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROTOMIA INTERNA PERCUTÂNEA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROTOMIA INTERNA URETEROSCÓPICA FLEXÍVEL OU RÍGIDA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROURETEROCISTONEOSTOMIA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROURETEROSTOMIA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROURETEROSTOMIA LAPAROSCÓPICA;;;X;X;SIM;SIM;SIM;X;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPLIAÇÃO VESICAL;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BEXIGA PSÓICA;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA ENDOSCÓPICA DE BEXIGA;;;X;SIM;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA VESICAL A CÉU ABERTO;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CÁLCULO VESICAL - EXTRAÇÃO ENDOSCÓPICA;;;X;SIM;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTECTOMIA;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTECTOMIA LAPAROSCÓPICA (INCLUI PRÓSTATA OU ÚTERO);;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOLITOTOMIA;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOLITOTRIPSIA A LASER;;;X;X;SIM;SIM;SIM;SIM;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOLITOTRIPSIA EXTRACORPÓREA;;;X;X;SIM;SIM;SIM;SIM;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOLITOTRIPSIA PERCUTÂNEA (U.S., E.H., E.C.);;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOLITOTRIPSIA TRANSURETRAL (U.S., E.H., E.C.);;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOPLASTIA REDUTORA;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTORRAFIA;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOSTOMIA CIRÚRGICA;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOSTOMIA COM PROCEDIMENTO ENDOSCÓPICO;;;X;SIM;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOSTOMIA POR PUNÇÃO COM TROCATER;;;X;SIM;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLO DE DIVERTÍCULO - RESSECÇÃO ENDOSCÓPICA;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLO VESICAL - RESSECÇÃO ENDOSCÓPICA;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO - EXTRAÇÃO CIRÚRGICA;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO - EXTRAÇÃO ENDOSCÓPICA;;;X;SIM;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DIVERTICULECTOMIA VESICAL;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENTEROCISTOPLASTIA (AMPLIAÇÃO VESICAL);;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXTROFIA EM CLOACA - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXTROFIA VESICAL - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA VESICAL - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - "SLING" VAGINAL OU ABDOMINAL, SINTÉTICO OU AUTÓLOGO;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - SUSPENSÃO ENDOSCÓPICA DE COLO;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO SUPRA-PÚBICO;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA COM COLPOPLASTIA ANTERIOR - TRATAMENTO CIRÚRGICO (COM OU SEM USO DE PRÓTESE);;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - TRATAMENTO ENDOSCÓPICO (INJEÇÃO);;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEOBEXIGA CONTINENTE (CUTÂNEA, RETAL OU URETRAL);;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PÓLIPOS VESICAIS - RESSECÇÃO CIRÚRGICA;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PÓLIPOS VESICAIS - RESSECÇÃO ENDOSCÓPICA;;;X;SIM;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO E ASPIRAÇÃO VESICAL;;;X;SIM;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE URETERO-VESICAL À BOARI;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETENÇÃO POR COÁGULO - ASPIRAÇÃO VESICAL;;;X;SIM;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA ENDOSCÓPICA DE DUPLO J;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR VESICAL - FOTOCOAGULAÇÃO A LASER;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR VESICAL - RESSECÇÃO ENDOSCÓPICA;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO DA HIPERATIVIDADE VESICAL: INJEÇÃO INTRAVESICAL DE TOXINA BOTULÍNICA (COM DIRETRIZ DE UTILIZAÇÃO);;;X;SIM;SIM;SIM;SIM;X;73;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
VESICOSTOMIA CUTÂNEA - CONFECÇÃO OU FECHAMENTO;;;X;X;SIM;SIM;SIM;X;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ABSCESSO PERIURETRAL - TRATAMENTO CIRÚRGICO;;;X;SIM;SIM;SIM;SIM;X;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA ENDOSCÓPICA DE URETRA;;;X;SIM;SIM;SIM;SIM;X;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO OU CÁLCULO - EXTRAÇÃO CIRÚRGICA;;;X;X;SIM;SIM;SIM;X;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO OU CÁLCULO - EXTRAÇÃO ENDOSCÓPICA;;;X;SIM;SIM;SIM;SIM;X;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DIVERTÍCULO URETRAL - TRATAMENTO CIRÚRGICO;;;X;X;SIM;SIM;SIM;X;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ELETROCOAGULAÇÃO ENDOSCÓPICA;;;X;SIM;SIM;SIM;SIM;X;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESFINCTEROTOMIA;;;X;X;SIM;SIM;SIM;X;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA URETRAL - CORREÇÃO CIRÚRGICA;;;X;X;SIM;SIM;SIM;X;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO SLING OU ESFÍNCTER ARTIFICIAL (COM DIRETRIZ DE UTILIZAÇÃO);;;X;X;SIM;SIM;SIM;X;48;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO (EXCETO ESFÍNCTER ARTIFICIAL);;;X;X;SIM;SIM;SIM;X;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INJEÇÕES PERIURETRAIS (INCLUINDO URETROCISTOCOPIA);;;X;X;SIM;SIM;SIM;X;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
